generation,release_date,artist,name,types,supertype,hp,evolvesFrom,evolvesTo,nationalPokedexNumbers,,,,,,,,,,,,,,,,,,,,,,,,,
Third,8/1/2005,Zu-Ka,Energy Recycle System,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Keiji Kinebuchi,Energy Removal 2,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Energy Root,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ken Ikuji,Energy Switch,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Fluffy Berry,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ken Sugimori,Mary's Request,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Poké Ball,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Hiromichi Sugiyama,Pokémon Reversal,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ken Sugimori,Professor Elm's Training Method,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Protective Orb,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Sitrus Berry,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Solid Rage,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Keiji Kinebuchi,Warp Point,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Kai Ishikawa,Energy Search,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Potion,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Milky Isobe,Darkness Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Milky Isobe,Metal Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Boost Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Cyclone Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Warp Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,8/1/2005,Ryo Ueda,Blissey ex,['Colorless'],Pokémon,160,Chansey ex,,[242],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,8/1/2005,Ryo Ueda,Espeon ex,['Psychic'],Pokémon,110,Eevee,,[196],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Hikaru Koike,Feraligatr ex,['Water'],Pokémon,150,Croconaw,,[160],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,8/1/2005,Mitsuhiro Arita,Ho-Oh ex,['Fire'],Pokémon,110,,,[250],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,8/1/2005,Hikaru Koike,Lugia ex,['Colorless'],Pokémon,100,,,[249],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,8/1/2005,Ryo Ueda,Meganium ex,['Grass'],Pokémon,150,Bayleef,,[154],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,8/1/2005,Ryo Ueda,Politoed ex,['Water'],Pokémon,150,Poliwhirl,,[186],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,8/1/2005,Mitsuhiro Arita,Scizor ex,['Metal'],Pokémon,120,Scyther ex,,[212],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,8/1/2005,Ryo Ueda,Steelix ex,['Metal'],Pokémon,150,Onix,,[208],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,8/1/2005,Mitsuhiro Arita,Typhlosion ex,['Fire'],Pokémon,150,Quilava,,[157],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,8/1/2005,Mitsuhiro Arita,Tyranitar ex,['Darkness'],Pokémon,160,Pupitar,,[248],,,,,,,,,,,,,,,,,,,,945,12029,,,,
Third,8/1/2005,Ryo Ueda,Umbreon ex,['Darkness'],Pokémon,110,Eevee,,[197],,,,,,,,,,,,,,,,,,,,945,12029,,,,
Third,8/1/2005,Masakazu Fukuda,Entei ★,['Fire'],Pokémon,80,,,[244],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,8/1/2005,Masakazu Fukuda,Raikou ★,['Lightning'],Pokémon,80,,,[243],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,8/1/2005,Masakazu Fukuda,Suicune ★,['Water'],Pokémon,80,,,[245],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,8/1/2005,Mitsuhiro Arita,Rocket's Persian ex,['Darkness'],Pokémon,100,Rocket's Meowth,,[53],,,,,,,,,,,,,,,,,,,,945,12029,,,,
Third,8/1/2005,Ryo Ueda,Celebi ex,['Grass'],Pokémon,70,,,[251],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Shin-ichi Yoshikawa,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Nakaoka,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,8/1/2005,Kyoko Koizumi,Unown,['Psychic'],Pokémon,60,,,[201],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Masakazu Fukuda,Beedrill δ,"['Grass', 'Metal']",Pokémon,90,Kakuna,,[15],,,,,,,,,,,,,,,,,,,,3,14476,,,,
Third,10/31/2005,Ryo Ueda,Crobat δ,"['Grass', 'Metal']",Pokémon,90,Golbat,,[169],,,,,,,,,,,,,,,,,,,,3,14476,,,,
Third,10/31/2005,Ryo Ueda,Dragonite δ,"['Lightning', 'Metal']",Pokémon,100,Dragonair,,[149],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Ryo Ueda,Espeon δ,"['Psychic', 'Metal']",Pokémon,70,Eevee,,[196],,,,,,,,,,,,,,,,,,,,5,14453,,,,
Third,10/31/2005,Kouki Saitou,Flareon δ,"['Fire', 'Metal']",Pokémon,70,Eevee,,[136],,,,,,,,,,,,,,,,,,,,6,14447,,,,
Third,10/31/2005,Mitsuhiro Arita,Gardevoir δ,"['Psychic', 'Metal']",Pokémon,100,Kirlia,,[282],,,,,,,,,,,,,,,,,,,,5,14453,,,,
Third,10/31/2005,Kouki Saitou,Jolteon δ,"['Lightning', 'Metal']",Pokémon,70,Eevee,,[135],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Ryo Ueda,Latias δ,"['Lightning', 'Metal']",Pokémon,70,,,[380],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Ryo Ueda,Latios δ,"['Lightning', 'Metal']",Pokémon,80,,,[381],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Hajime Kusajima,Marowak δ,"['Fighting', 'Metal']",Pokémon,80,Cubone,,[105],,,,,,,,,,,,,,,,,,,,4,14468,,,,
Third,10/31/2005,Masakazu Fukuda,Metagross δ,"['Lightning', 'Metal']",Pokémon,100,Metang,,[376],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Ryo Ueda,Mewtwo δ,"['Fire', 'Metal']",Pokémon,70,,,[150],,,,,,,,,,,,,,,,,,,,6,14447,,,,
Third,10/31/2005,Ryo Ueda,Rayquaza δ,"['Lightning', 'Metal']",Pokémon,90,,,[384],,,,,,,,,,,,,,,,,,,,9,14408,,,,
Third,10/31/2005,Ryo Ueda,Salamence δ,"['Fire', 'Metal']",Pokémon,110,Shelgon,,[373],,,,,,,,,,,,,,,,,,,,6,14447,,,,
Third,10/31/2005,Masakazu Fukuda,Starmie δ,"['Water', 'Metal']",Pokémon,60,Staryu,,[121],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Mitsuhiro Arita,Tyranitar δ,"['Fire', 'Metal']",Pokémon,120,Pupitar,,[248],,,,,,,,,,,,,,,,,,,,6,14447,,,,
Third,10/31/2005,Ryo Ueda,Umbreon δ,"['Darkness', 'Metal']",Pokémon,70,Eevee,,[197],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Kouki Saitou,Vaporeon δ,"['Water', 'Metal']",Pokémon,70,Eevee,,[134],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Atsuko Nishida,Azumarill δ,"['Water', 'Metal']",Pokémon,80,Marill,,[184],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Midori Harada,Azurill,['Colorless'],Pokémon,50,,['Marill'],[298],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Hisao Nakamura,Holon's Electrode,['Lightning'],Pokémon,70,Holon's Voltorb,,[101],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Katsura Tabata,Holon's Magneton,['Metal'],Pokémon,70,Holon's Magnemite,['Magnezone'],[82],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,10/31/2005,Midori Harada,Hypno,['Psychic'],Pokémon,70,Drowzee,,[97],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Hajime Kusajima,Mightyena δ,"['Darkness', 'Metal']",Pokémon,70,Poochyena,,[262],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Hisao Nakamura,Porygon2,['Colorless'],Pokémon,70,Porygon,['Porygon-Z'],[233],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Miki Tanaka,Rain Castform,['Water'],Pokémon,70,,,[351],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Mitsuhiro Arita,Sandslash δ,"['Fighting', 'Metal']",Pokémon,80,Sandshrew,,[28],,,,,,,,,,,,,,,,,,,,4,14468,,,,
Third,10/31/2005,Kagemaru Himeno,Slowking,['Water'],Pokémon,80,Slowpoke,,[199],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Miki Tanaka,Snow-cloud Castform,['Water'],Pokémon,70,,,[351],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Midori Harada,Starmie δ,"['Water', 'Metal']",Pokémon,70,Staryu,,[121],,,,,,,,,,,,,,,,,,,,7,14426,,,,
Third,10/31/2005,Miki Tanaka,Sunny Castform,['Fire'],Pokémon,70,,,[351],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Atsuko Nishida,Swellow,['Colorless'],Pokémon,70,Taillow,,[277],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Yukiko Baba,Weezing,['Grass'],Pokémon,70,Koffing,,[110],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Miki Tanaka,Castform,['Colorless'],Pokémon,60,,,[351],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Colorless'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Grass'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Fire'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Psychic'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Lightning'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Water'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Hajime Kusajima,Dragonair δ,['Lightning'],Pokémon,70,Dratini,['Dragonite'],[148],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Mitsuhiro Arita,Dragonair δ,['Lightning'],Pokémon,70,Dratini,['Dragonite'],[148],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Yukiko Baba,Golbat,['Grass'],Pokémon,70,Zubat,['Crobat'],[42],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Hisao Nakamura,Hariyama,['Fighting'],Pokémon,80,Makuhita,,[297],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Midori Harada,Illumise,['Grass'],Pokémon,60,,,[314],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Sachiko Adachi,Kakuna,['Grass'],Pokémon,60,Weedle,['Beedrill'],[14],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Midori Harada,Kirlia,['Psychic'],Pokémon,70,Ralts,"['Gardevoir', 'Gallade']",[281],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Kagemaru Himeno,Magneton,['Lightning'],Pokémon,80,Magnemite,['Magnezone'],[82],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Hajime Kusajima,Metang δ,['Lightning'],Pokémon,80,Beldum,['Metagross'],[375],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Naoyo Kimura,Persian,['Colorless'],Pokémon,80,Meowth,,[53],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Masakazu Fukuda,Pupitar δ,['Fire'],Pokémon,70,Larvitar,['Tyranitar'],[247],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Atsuko Nishida,Rapidash,['Fire'],Pokémon,70,Ponyta,,[78],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Masakazu Fukuda,Shelgon δ,['Fire'],Pokémon,80,Bagon,['Salamence'],[372],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Mitsuhiro Arita,Shelgon δ,['Fire'],Pokémon,70,Bagon,['Salamence'],[372],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Hisao Nakamura,Skarmory,['Metal'],Pokémon,70,,,[227],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,10/31/2005,Midori Harada,Volbeat,['Grass'],Pokémon,60,,,[313],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Masakazu Fukuda,Bagon δ,['Fire'],Pokémon,50,,['Shelgon'],[371],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Hajime Kusajima,Bagon δ,['Fire'],Pokémon,50,,['Shelgon'],[371],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Hajime Kusajima,Beldum δ,['Lightning'],Pokémon,50,,['Metang'],[374],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Yukiko Baba,Cubone,['Fighting'],Pokémon,50,,['Marowak'],[104],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Fire'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Fighting'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Lightning'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Yuka Morii,Ditto,['Water'],Pokémon,60,,,[132],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Hajime Kusajima,Dratini δ,['Lightning'],Pokémon,50,,['Dragonair'],[147],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Mitsuhiro Arita,Dratini δ,['Lightning'],Pokémon,50,,['Dragonair'],[147],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Tomokazu Komiya,Drowzee,['Psychic'],Pokémon,50,,['Hypno'],[96],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Mitsuhiro Arita,Eevee δ,['Metal'],Pokémon,50,,"['Vaporeon', 'Jolteon', 'Flareon', 'Sylveon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon']",[133],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,10/31/2005,Atsuko Nishida,Eevee,['Colorless'],Pokémon,50,,"['Vaporeon', 'Jolteon', 'Flareon', 'Sylveon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon']",[133],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Katsura Tabata,Holon's Magnemite,['Metal'],Pokémon,40,,['Magneton'],[81],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,10/31/2005,Takao Unno,Holon's Voltorb,['Lightning'],Pokémon,40,,['Electrode'],[100],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Sachiko Adachi,Koffing,['Grass'],Pokémon,50,,['Weezing'],[109],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Hajime Kusajima,Larvitar δ,['Fire'],Pokémon,50,,['Pupitar'],[246],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Kagemaru Himeno,Magnemite,['Lightning'],Pokémon,50,,['Magneton'],[81],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Sachiko Adachi,Makuhita,['Fighting'],Pokémon,50,,['Hariyama'],[296],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Midori Harada,Marill,['Water'],Pokémon,50,,['Azumarill'],[183],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Hiroki Fuchino,Meowth,['Colorless'],Pokémon,50,,['Persian'],[52],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Naoyo Kimura,Ponyta,['Fire'],Pokémon,50,,['Rapidash'],[77],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Sachiko Adachi,Poochyena,['Darkness'],Pokémon,50,,['Mightyena'],[261],,,,,,,,,,,,,,,,,,,,945,12029,,,,
Third,10/31/2005,Hisao Nakamura,Porygon,['Colorless'],Pokémon,50,,['Porygon2'],[137],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Kenkichi Toyama,Ralts,['Psychic'],Pokémon,50,,['Kirlia'],[280],,,,,,,,,,,,,,,,,,,,1941,4099,,,,
Third,10/31/2005,Tomokazu Komiya,Sandshrew,['Fighting'],Pokémon,50,,['Sandslash'],[27],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Kagemaru Himeno,Slowpoke,['Water'],Pokémon,50,,"['Slowbro', 'Slowking']",[79],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Midori Harada,Staryu,['Water'],Pokémon,50,,['Starmie'],[120],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Hisao Nakamura,Staryu,['Water'],Pokémon,50,,['Starmie'],[120],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Tomokazu Komiya,Taillow,['Colorless'],Pokémon,40,,['Swellow'],[276],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
Third,10/31/2005,Atsuko Nishida,Weedle,['Grass'],Pokémon,50,,['Kakuna'],[13],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,Tomokazu Komiya,Zubat,['Grass'],Pokémon,50,,['Golbat'],[41],,,,,,,,,,,,,,,,,,,,2010,2089,,,,
Third,10/31/2005,"""Big Mama"" Tagawa",Dual Ball,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Nakaoka,Great Ball,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Kouki Saitou,Holon Farmer,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Kouki Saitou,Holon Lass,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Kouki Saitou,Holon Mentor,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Ryo Ueda,Holon Research Tower,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Kanako Eo,Holon Researcher,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Ryo Ueda,Holon Ruins,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Ken Sugimori,Holon Scientist,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Mitsuhiro Arita,Holon Transceiver,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Keiji Kinebuchi,Master Ball,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Keiji Kinebuchi,Super Scoop Up,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Shin-ichi Yoshikawa,Potion,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Hiromichi Sugiyama,Switch,,Trainer,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Milky Isobe,Darkness Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Takumi Akabane,Holon Energy FF,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Takumi Akabane,Holon Energy GL,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Takumi Akabane,Holon Energy WP,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Milky Isobe,Metal Energy,,Energy,,,,,,,,,,,,,,,,,,,,,,,,0,14501,,,,
Third,10/31/2005,Ryo Ueda,Flareon ex,['Fire'],Pokémon,110,Eevee,,[136],,,,,,,,,,,,,,,,,,,,1284,9474,,,,
Third,10/31/2005,Mitsuhiro Arita,Jolteon ex,['Lightning'],Pokémon,100,Eevee,,[135],,,,,,,,,,,,,,,,,,,,1271,10758,,,,
Third,10/31/2005,Hikaru Koike,Vaporeon ex,['Water'],Pokémon,120,Eevee,,[134],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Masakazu Fukuda,Groudon ★,['Fighting'],Pokémon,90,,,[383],,,,,,,,,,,,,,,,,,,,1566,7908,,,,
Third,10/31/2005,Masakazu Fukuda,Kyogre ★,['Water'],Pokémon,90,,,[382],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,10/31/2005,Masakazu Fukuda,Metagross ★,['Metal'],Pokémon,90,,,[376],,,,,,,,,,,,,,,,,,,,757,12974,,,,
Third,10/31/2005,Kagemaru Himeno,Azumarill,['Water'],Pokémon,70,Marill,,[184],,,,,,,,,,,,,,,,,,,,2088,1,['Water'],,,
Third,2/1/2006,Hajime Kusajima,Aerodactyl,['Colorless'],Pokémon,70,Mysterious Fossil,,[142],,,,,,,,,,,,,,,,,,,,1868,6040,,,,
